,job,company,location,salary,description
28174,Data Scientist,        Novetta,"Crystal City, VA",,
28175,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28176,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28177,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28178,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28179,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28180,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28181,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28182,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28183,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28184,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28185,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28186,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28187,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28188,Data Scientist,    xometry,"Durham, NC",,
28189,Data Scientist,        Novetta,"Crystal City, VA",,
28190,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28191,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28192,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28193,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28194,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28195,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28196,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28197,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28198,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28199,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28200,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28201,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28202,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28203,Data Scientist,    xometry,"Durham, NC",,
28204,Data Scientist,        Novetta,"Crystal City, VA",,
28205,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28206,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28207,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28208,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28209,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28210,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28211,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28212,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28213,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28214,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28215,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28216,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28217,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28218,Data Scientist,    xometry,"Durham, NC",,
28219,Data Scientist,        Novetta,"Crystal City, VA",,
28220,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28221,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28222,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28223,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28224,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28225,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28226,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28227,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28228,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28229,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28230,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28231,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28232,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28233,Data Scientist,    xometry,"Durham, NC",,
28234,Data Scientist,        Novetta,"Crystal City, VA",,
28235,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28236,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28237,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28238,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28239,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28240,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28241,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28242,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28243,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28244,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28245,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28246,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28247,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28248,Data Scientist,    xometry,"Durham, NC",,
28249,Data Scientist,        Novetta,"Crystal City, VA",,
28250,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28251,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28252,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28253,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28254,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28255,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28256,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28257,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28258,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28259,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28260,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28261,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28262,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28263,Data Scientist,    xometry,"Durham, NC",,
28264,Data Scientist,        Novetta,"Crystal City, VA",,
28265,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28266,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28267,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28268,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28269,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28270,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28271,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28272,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28273,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28274,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28275,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28276,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28277,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28278,Data Scientist,    xometry,"Durham, NC",,
28279,Data Scientist,        Novetta,"Crystal City, VA",,
28280,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28281,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28282,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28283,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28284,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28285,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28286,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28287,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28288,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28289,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28290,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28291,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28292,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28293,Data Scientist,    xometry,"Durham, NC",,
28294,Data Scientist,        Novetta,"Crystal City, VA",,
28295,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28296,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28297,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28298,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28299,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28300,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28301,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28302,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28303,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28304,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28305,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28306,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28307,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28308,Data Scientist,    xometry,"Durham, NC",,
28309,Data Scientist,        Novetta,"Crystal City, VA",,
28310,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28311,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28312,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28313,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28314,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28315,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28316,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28317,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28318,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
28319,Director of Database Development and Analytics,        American Cruise Lines,"Sandy, UT 84070",,
28320,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
28321,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
28322,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
28323,Data Scientist,    xometry,"Durham, NC",,
28324,Data Scientist,        Novetta,"Crystal City, VA",,
28325,Senior Data Scientist,    IAC Publishing Labs,"Oakland, CA",,
28326,IT Requirements/ Data Scientist -OUSDI-HCMO-DCIPS,        Red Gate Group,"Arlington, VA",,
28327,"Principle Scientist, Data Science, System integration",    MatchPointe Group,"Santa Clara, CA",,
28328,Supply Chain Optimization Analyst,        Nestle USA,"Arlington, VA",,
28329,Lead Data Scientist,        Mitre Corporation,"Washington, DC 20024",,
28330,Data Scientist / Machine Learning Engineer - Application & Platform,        Workday,"San Francisco, CA 94105",,
28331,Staff Data Scientist,        Walmart eCommerce,"Sunnyvale, CA",,
28332,Junior Data Scientist,        Realogy Corporate,"Emeryville, CA",,
28333,Senior Data Scientist in LifeSciences,        Bayer,"Salinas, CA",,
